Handle,Title,Custom Product Type,Tags,Variant SKU
manjira-kurta,Manjira kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_Princess Cut",145
netravati-angarakha,Netravati angarakha,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Dark Brown, Neck Type_V Neck, Price_2K to 3K, Sale, Style_Open Angarakha",139
netravatin-pant,Netravatin pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Wheat, Price_0k-1K, Sale, Style_Broad Pant",349
mandovi-angrakha,Mandovi angrakha,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Maroon, Color_Pink, Neck Type_V Neck, Price_2K to 3K, Sale, Style_Open Angarakha",133
bhagirathi-angarakha,Bhagirathi angarakha,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Pink, Color_White, Neck Type_V Neck, Price_2K to 3K, Sale, Style_Open Angarakha",127
beas-pant,Beas pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Wheat, Price_0k-1K, Sale, Style_Cigarette Pant",337
panzara-kurta,Panzara kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_Chinese Collar, Price_1K to 2K, Sale, Style_Princess Cut",121
subarnarekha-pant,Subarnarekha pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Price_0k-1K, Style_Cigarette Pant",325
pavana-kurta,Pavana kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Pink, Neck Type_Chinese Collar, Price_1K to 2K, Sale, Style_Princess Cut",115
zuari-kurta,Zuari kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Color_White, Neck Type_Chinese Collar, Price_1K to 2K, Sale, Style_Princess Cut",109
vaigai-kurta,Vaigai kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Color_Blue, Neck Type_Round Neck, Price_1K to 2K, Style_Short Kali",103
vellar-kurta,Vellar kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_Round Neck, Price_1K to 2K, Style_Short Kali",097
vardha-pant,Vardha pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Price_0K-1K, Sale, Style_Cigarette Pant",307
ghaghara-kurta,Ghaghara kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Neck Type_Round Neck, Price_1K to 2K, Style_Short Kali",091
vellar-pant,Vellar pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Price_0K-1K, Sale, Style_Cigarette Pant",301
ghaghra-pant,Ghaghra pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Price_0K-1K, Sale, Style_Cigarette Pant",295
chambal-kurta,Chambal kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_V Neck, Price_1K to 2K, Style_Knee Length",085
zuari-pant,Zuari pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Price_0k-1K, Sale, Style_Broad Pant",289
dras-kurta,Dras kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Light Pink, Neck Type_V Neck, Price_1K to 2K, Sale, Style_Knee Length",079
jhelum-kurta,Jhelum Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Light Purple, Neck Type_V Neck, Price_1K to 2K, Style_Knee Length",073
long-angarakha-white-and-yellow-color-kurta,Kaveri Angrakha,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Neck Type_V Neck, Price_1K to 2K, Sale, Style_Closed Angarakha",067
long-angarakha-rani-pink-color-kurta,Narmada Angrakha,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Rani Pink, Neck Type_V Neck, Price_1K to 2K, Style_Closed Angarakha",061
long-straight-coffee-color,Godavari Angrakha,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Coffee, Neck Type_V Neck, Price_1K to 2K, Sale, Style_Closed Angarakha",055
long-straight-white-and-pea-nut-color,Beas Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Pea Nut, Color_White, Neck Type_Boat, Price_1K to 2K, Sale, Style_Straight Cut",049
long-straight-white-and-light-orange-color,Tapti Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Light Orange, Color_White, Neck Type_Boat, Price_1K to 2K, Sale, Style_Straight Cut",043
long-straight-brown-color,Doda Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Brown, Neck Type_Boat, Price_1K to 2K, Sale, Style_Straight Cut",037
a-line-white-and-antique-moss,Hoogly Kurta,Kurta,"Category_Kurta, Category_Women, Color_Antique Moss, Color_White, Neck Type_Round, Price_1K to 2K, Sale, Style_A Line",031
a-line-white-and-blue-kurta,Sutlej Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_White, Neck Type_Round, Price_1K to 2K, Style_A Line",025
long-straight-peach-and-white-kurta,Chenab Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Neck_Round Neck, Price_1K to 2K, Sale, Style_Straight Cut",019
long-straight-white-kurta,Alaknanda Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_White, Neck Type_Deep Round, Price_1K to 2K, Sale, Style_Straight Cut",013
straight-blue-white-kurta,Betwa Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_White, Neck Type_Deep Round, Price_1K to 2K, Sale, Style_Straight Cut",007
peachful-desire,Kosi Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Neck Type_Deep Round, Price_1K to 2K, Sale, Style_Straight Cut",001
